,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Camana,PE,-16.6228,-72.7111,69.31,75,74,7.25,broken clouds
155,Antofagasta,CL,-23.65,-70.4,65.48,69,28,8.79,scattered clouds
156,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,67,95,4.9,overcast clouds
157,Staryy Nadym,RU,65.6118,72.6842,-8.88,96,100,8.19,overcast clouds
158,Victoria,HK,22.2855,114.1577,69.78,67,34,6.04,scattered clouds
159,Smithers,CA,54.7804,-127.1743,37.72,93,75,5.75,broken clouds
160,Aswan,EG,24.0934,32.907,74.5,31,0,8.05,clear sky
161,Whitehorse,CA,60.7161,-135.0538,-5.03,84,20,3.44,few clouds
162,Thompson,CA,55.7435,-97.8558,5.16,85,40,6.91,scattered clouds
163,The Valley,AI,18.217,-63.0578,85.86,74,20,9.22,few clouds
164,Buin,CL,-33.7333,-70.75,86.32,11,0,7.76,clear sky
165,Altus,US,34.6381,-99.334,65.71,25,1,3.44,clear sky
166,Kununurra,AU,-15.7667,128.7333,75.18,94,47,0.0,scattered clouds
167,Lompoc,US,34.6391,-120.4579,79.11,18,1,5.75,clear sky
168,Jurm,AF,36.8648,70.8342,40.68,84,100,3.2,overcast clouds
169,Galle,LK,6.0367,80.217,76.78,87,100,2.8,overcast clouds
170,Dawlatabad,AF,36.4141,64.9053,50.76,56,0,4.85,clear sky
171,Axim,GH,4.8699,-2.2405,79.88,81,100,6.53,overcast clouds
172,Bandar-E Anzali,IR,37.4727,49.4622,56.61,84,34,1.14,scattered clouds
173,Ondangwa,NA,-17.9167,15.95,76.98,49,100,13.51,overcast clouds
174,Barrow,US,71.2906,-156.7887,-11.18,70,90,13.8,haze
175,Palana,RU,59.1167,159.9667,11.55,94,100,8.03,snow
176,Saint-Georges,GD,12.0564,-61.7485,85.68,74,40,19.57,scattered clouds
177,San Patricio,US,28.017,-97.5169,72.01,62,100,10.16,overcast clouds
178,Falam,MM,22.9167,93.6833,50.0,96,9,1.66,clear sky
